File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,21.17,Fastjet,3.5.1,Durham,Best,4.0,1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,23.55,Fastjet,3.5.1,Durham,Best,4.0,1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,27.14,Fastjet,3.5.1,Durham,Best,4.0,1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,29.87,Fastjet,3.5.1,Durham,Best,4.0,1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,33.4,Fastjet,3.5.1,Durham,Best,4.0,1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,37.29,Fastjet,3.5.1,Durham,Best,4.0,1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,14.14,Fastjet,3.5.1,EEKt,Best,0.2,0.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,16.55,Fastjet,3.5.1,EEKt,Best,0.2,0.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,19.23,Fastjet,3.5.1,EEKt,Best,0.2,0.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,21.65,Fastjet,3.5.1,EEKt,Best,0.2,0.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,23.66,Fastjet,3.5.1,EEKt,Best,0.2,0.0,C++,gcc14.2
